Common Name,Species Name,Venomous,Status,Distribution,Habitat,Description, Ecological Role
Gervais’ Worm Snake,Calamaria gervaisi iridescens,Non-venomous,Least concern,"Endemic to the Philippine archipelago. The iridescens subspecies is noted in records for islands such as Luzon, Mindoro, Negros, Panay, and Cebu.","Found from sea level up to 1,000 meters in forests, plantations, and even urban gardens.","Calamaria gervaisi iridescens is a subspecies of Gervais's worm snake (or Philippine dwarf snake), a small, burrowing snake endemic to the Philippines. ","As a burrower, it contributes to soil aeration and nutrient cycling within the forest floor and garden detritus."
Northern Triangle-spotted Snake,Cyclocorus lineatus alcalai,Non-venomous,Least concern,"Found on the islands of Cebu, Negros, and Panay. Recent records have confirmed its presence on Sibuyan Island in Romblon Province.","Primarily terrestrial, inhabiting mature secondary forests, forest floors with leaf litter, and areas near wetlands or streams. ","Cyclocorus lineatus alcalai, commonly known as Alcala's triangle-spotted snake, is a subspecies of Reinhardt’s lined snake endemic to the Philippines.","By preying on other small vertebrates, it helps regulate the populations of forest-floor and fossorial species, serving as a critical link in the forest food web. "
Non-banded Philippine Burrowing Snake,Oxyrhabdium modestum,Non-venomous,Least concern,"Widespread across the Philippine archipelago; it is found on islands including Luzon, Mindanao, Negros, Panay, Cebu, Leyte, Samar, Bohol, and Basilan.","Highly adaptable, it inhabits a range of environments from sea level to 1,500 meters.","Oxyrhabdium modestum, commonly known as the Philippine shrub snake or non-banded Philippine burrowing snake, is a small, harmless colubrid endemic to the Philippines. ","It is notable for its ability to persist in disturbed habitats, such as agricultural plantations and rural gardens, where it continues to provide natural pest control. "
Negros Light-scaled Burrowing Snake,Pseudorabdion oxycephalum,Non-venomous,Least concern,"Endemic to the Philippines, specifically recorded on the islands of Negros, Mindanao, Panay, and Luzon.","A strictly fossorial (burrowing) species. It inhabits lowland and montane tropical moist forests, ranging from sea level to approximately 1,600 meters.","Pseudorabdion oxycephalum, commonly known as Günther's dwarf reed snake or the Negros light-scaled burrowing snake, is a secretive, small-bodied colubrid endemic to the Philippines. ","As a burrowing specialist, it primarily feeds on soil-dwelling invertebrates, such as earthworms and small insects, helping to regulate their populations."
Dog-faced Water Snake,Cerberus schneiderii,Mildly venomous,Least concern,"Widespread in coastal areas of the Philippines, Vietnam, Thailand, Malaysia, Singapore, and Indonesia.","Primarily inhabits mangrove mudflats, estuaries, and brackish river mouths.","Cerberus schneiderii, commonly known as Schneider’s dog-faced water snake or the Southeast Asian bockadam, is a highly abundant, salt-tolerant aquatic snake found throughout the Philippines and Southeast Asia. ","It is a dominant predator of fish (especially gobies, catfish, and eels) and occasionally consumes crustaceans and frogs."
Negros Spotted Water Snake,Tropidonophis negrosensis,Non-venomous,Near Threatened,"Endemic to several islands in the Philippines, including Negros, Panay, Cebu, Masbate, Mindoro, Siquijor, and small satellite islands like Azucar.","Primarily terrestrial and riparian; it is frequently encountered on the forest floor beneath leaf litter, rotten logs, and detritus, often near shallow streams. ","Tropidonophis negrosensis, commonly known as the Negros spotted water snake or Negros keelback, is a semi-aquatic colubrid endemic to the Philippines.","As a semi-aquatic predator, it likely regulates populations of small vertebrates near water bodies. While specific diet data for T. negrosensis is sparse, related keelbacks in the region primarily consume frogs and tadpoles."
Boie's Keelback Snake​,Rhabdophis spilogaster,Mildly venomous,Least concern,"Found exclusively in the Philippines, specifically on the islands of Luzon (including Bataan province), Catanduanes, Polillo, Calayan, and Ticao.","They are diurnal and semi-aquatic, frequently observed near rice fields, streams, marshes, and artificial fish ponds. ","Rhabdophis spilogaster, commonly known as Boie's Keelback or the Northern Water Snake, is a species of keelback snake endemic to the Philippines. It belongs to the family Colubridae and is often found in aquatic or semi-aquatic habitats. ",It is an opportunistic predator that also consumes fish and small aquatic invertebrates.
Yellow-lipped Sea Krait​,Laticauda colubrina,Highly venomous,Least concern,"Widespread throughout the Philippine archipelago. Common sightings occur at Gato Island (Cebu), Gigantes Islands, Mindoro, Mindanao, and Pangasinan.","Semi-aquatic/amphibious. It inhabits shallow coastal waters and coral reefs to hunt, but spends about 50% of its time on land—specifically rocky coasts, islets, and mangroves—to rest, digest, and lay eggs.","Laticauda colubrina, commonly known as the Yellow-lipped Sea Krait or Banded Sea Krait, is a highly venomous but docile species of semi-aquatic snake found in the tropical Indo-Pacific. "," An apex predator in coral reef systems, it is a specialist that hunts moray and conger eels. By regulating eel populations, it helps maintain the health and diversity of reef ecosystems. "
Double-barred Coral Snake,Hemibungarus gemianulis,Highly venomous,Least concern,"Endemic to the Philippines; specifically found in the Visayas (islands like Cebu, Panay, and Negros).","Secretive and terrestrial; inhabits primary and secondary forests, often found among leaf litter or humus."," A small, slender elapid with a distinctive ""barred"" pattern. It mimics true coral snakes with black, red, and yellow bands. ","An ophiophagous (snake-eating) specialist that regulates populations of smaller snakes (like Calamaria species) and lizards."
Common Mock Viper,Psammodynastes pulverulentus,Mildly venomous,Least concern,"Extremely widespread throughout the Philippines, including Luzon, Palawan, Mindanao, Visayas, and Sulu.","Highly adaptable; found in lowland forests, montane regions, and agricultural areas near streams.","A small snake with a triangular head and large eyes, mimicking the appearance of a true viper. "," A generalist predator that controls populations of small frogs, geckos, and skinks."
North Philippine Temple Pit Viper,Tropidolaemus subannulatus,Highly Venomous,Least concern,"Found in Brunei, Indonesia (Borneo, Sulawesi), Malaysia (Sabah, Sarawak), and the Philippines (islands including Luzon, Mindanao, Negros, Cebu, Palawan, and Bohol).","It inhabits lowland primary and mature secondary forests, riverine environments, and mangroves.","Tropidolaemus subannulatus, commonly known as the Bornean Keeled Pit Viper or the North Philippine Temple Pit Viper, is a venomous arboreal species native to Southeast Asia. Until 2007, it was classified as part of the Tropidolaemus wagleri species complex, but it is now recognized as a distinct species. ","Primarily feeds on warm-blooded prey such as birds and arboreal rodents, but also consumes frogs and lizards."
Pit Viper,Trimeresurus flavomaculatus,Highly venomous,Least concern,"Panay, Negros, Leyte, Bohol, Samar, Biliran, Cebu, and Siquijor.","It is a partly arboreal species typically found in lowland tropical rainforests, often near shady streams, rivers, and damp localities.","Trimeresurus flavomaculatus, commonly known as the Philippine Pit Viper, is a venomous snake endemic to the Philippine archipelago. As of 2026, it is recognized for its significant role in local ecosystems and its complex, potentially life-threatening venom. ","As an apex predator in its microhabitat, this viper is crucial for maintaining the health of forest ecosystems. "
Barred Coral Snake,Hemibungarus calligaster,Highly venomous,Least concern,"Endemic in the Philippines (Luzon, Mindoro, Cebu, Negros, Panay)"," Inhabits lowland tropical moist forests, both primary and mature secondary, from sea level to roughly 600 meters.","Hemibungarus calligaster, commonly known as the Luzon Barred Coral Snake or Philippine Barred Coral Snake, is a venomous elapid endemic to the northern Philippines. As of 2026, it is recognized as part of a genus of three distinct species formerly treated as a single species complex.","An ophiophagous (snake-eating) predator, specialized in hunting other small snakes, such as the Gervais' Reed Snake (Calamaria gervaisii)."
King Cobra,Ophiophagus hannah,Highly venomous,Vulnerable,"Found across the Visayas (Cebu, Negros, Panay, Bohol, Samal)","They primarily inhabit lowland tropical rainforests, mangroves, and bamboo thickets. Also frequently found near streams and rivers, where humidity and temperature remain relatively constant.","Ophiophagus hannah, universally known as the King Cobra, is a massive elapid endemic to Asia. As of early 2026, it is no longer considered a single species but a species complex that has been taxonomically split into four distinct species. ","A specialized ophiophagous predator (snake-eater). It primarily preys on other snakes, including rat snakes, pythons, and even other cobras."
Samar Cobra,Naja Samarensis ,Highly venomous,Least concern,"Endemic to the Visayas and Mindanao island groups. Confirmed on islands including Samar, Leyte, Bohol, Mindanao, Basilan, Dinagat, and Siquijor.","Occupies a wide range of habitats from lowland tropical plains and rice paddies to mountainous jungles, up to an elevation of approximately 800–1,000 meters. It frequently resides near human settlements, especially in agricultural areas like coconut plantations. ","Naja samarensis, commonly known as the Samar Cobra or Southern Philippine Spitting Cobra, is a highly venomous elapid endemic to the southern Philippines. ","They are vital for pest control in agricultural settings. Notably, they have been documented preying on the invasive cane toad (Rhinella marina), suggesting a potential role in controlling this toxic invasive species. "
Reticulated Python,Malayoython reticulatus,Non-venomous,Least concern,"Inhabits nearly all major islands of the Philippines (e.g., Luzon, Mindanao, Cebu)","It is extremely resilient to human-modified landscapes, thriving in agricultural lands (like oil palm plantations) and even urban areas, where it can be found in sewers and drainage channels.",Malayopython reticulatus (the Reticulated Python) is recognized as the longest snake species in the world and one of the most adaptable apex predators in Southeast Asia.,"As a top predator, it maintains ecosystem equilibrium by regulating populations of diverse animals."
Small Wart Snake,Acrochordus granulatus,Non-venomous,Least concern,"In the Philippines, it is found on islands such as Luzon, Cebu, Negros, Palawan, and Panay.","Primarily marine and estuarine, frequently inhabiting mangrove forests, coastal swamps, and tidal rivers.","Acrochordus granulatus, commonly known as the Little File Snake or Marine Wart Snake, is a uniquely adapted aquatic snake found in coastal regions across the Indo-Pacific. ","A specialized piscivore (fish-eater), feeding primarily on small gobiid fish and occasionally crustaceans like crabs."
Brahminy Blind Snake,Indotyphlops braminus,Non-venomous,Least concern,"Now found on nearly every continent (except Antarctica). It is widespread throughout the Philippines, Southeast Asia, Australia, the Americas (including Florida and California), and many oceanic islands."," Found underground or under moist leaf litter, rotting logs, and rocks. It thrives in moist, loose soil. ","Indotyphlops braminus, commonly known as the Brahminy Blind Snake or Flowerpot Snake, is one of the most widely distributed snake species in the world as of 2026. It is unique for being the only known obligately parthenogenetic snake (all individuals are female and clones of their mother). ",Plays a beneficial role in gardens and urban environments by regulating populations of social insects.
Cuming’s Blind Snake,Ramphotyphlops cumingii,Non-venomous,Least concern,"Confirmed populations exist on Bohol, Marinduque, Mindanao, Negros, Panay, Cebu, and Polillo.","Typically found under leaf litter, rotting logs, or buried in loose, moist soil. It is occasionally unearthed during agricultural activities or garden maintenance.","Ramphotyphlops cumingii, commonly known as Cuming's Blind Snake, is a small, non-venomous snake endemic to the Philippines. It is recognized for its secretive, burrowing lifestyle and its specialized role in island ecosystems.",It plays a beneficial role in forest and garden ecosystems by controlling the populations of social insects.
